1	On the Road	https://www.redriverclimbing.com/RRCGuide/?type=route&id=9	Trad	100	5.9-	3	This route is the dihedral just left of a small pinnacle.	1	11		0
2	Hang Over	https://www.redriverclimbing.com/RRCGuide/?type=route&id=10	Trad	40	5.7	0	Hike left from On the Road to a wet gully. Climb the gully to a ledge with a rockhouse. The crack is on the left edge of the rockhouse.	2	6		0
3	Never Again	https://www.redriverclimbing.com/RRCGuide/?type=route&id=11	Trad	0	5.9	0		3	12		0
4	Coexistence	https://www.redriverclimbing.com/RRCGuide/?type=route&id=12	Sport	50	5.12b	4	From the parking area walk back up the road toward the tunnel to the hairpin. Hike uphill following a faint path and find this route on the rock to the right.	4	31	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/56100924edc14	0
5	Keys in the Back of a Cadillac	https://www.redriverclimbing.com/RRCGuide/?type=route&id=3488	Trad	140	5.11d	3	Park as for grays wall (currently park right before the ''bump" sign) hike uphill slightly to the left until you come across a 20ft dihedral capped by a roof. Climb the dihedral and traverse the roof to a ledge (a bit dirty at the moment but the more traffic the cleaner it becomes) Pitch 2: Wide crack all the way too the right on the ledge. Climb on crappy quality rock for about 30 feet to another ledge. Pitch 3: This is the money pitch! Directly above pitch 2 is a beautiful dihedral with a thin fingers crack leading to a 12 foot roof which opens to hand/fist size and has some fun gymnastical moves then leads back to some face climbing to another ledge. Here i recommend breaking it into a fourth pitch to reduce rope drag for the last 20 feet to the top.	5	26	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/5bf1d97266665,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/5bf1d89b1cb1f,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/5bf1d86259dd5,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/5bf1d83629f61,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/5bf1d4b4c3de7	0
18	To Defy the Laws of Tradition	https://www.redriverclimbing.com/RRCGuide/?type=route&id=20	Sport	60	5.10a	4.02	From the top of the trail, head left and around the corner about 100 feet past several bolted lines until you reach this striking line on an orange face just left of a bolted arete.	1	16	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/582b29a2a8feb,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4ed583cd32ece,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4ed583a3a8612,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4ed58386bfcb8,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/475581a2eade1,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/46dd38e735590,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/matt_defy.jpg,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4398f07838927	0
19	Too Many Puppies	https://www.redriverclimbing.com/RRCGuide/?type=route&id=22	Sport	60	5.12a	4.53	This is the arete 25 feet right of To Defy The Laws of Tradition. Pull through a tough start then tech your way up the left face of the arete. Make the switch out right when you need to and enjoy the crux finish.	2	30	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/59bab3079dcb1,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4ed5834c3d6b5,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4ed58314e9119,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4ed582e1acfe9,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4e1da2c41a8c9	0
20	Fast Food Christians	https://www.redriverclimbing.com/RRCGuide/?type=route&id=621	Sport	0	5.10a	2.51	Walk right and around the corner from Too Many Puppies to a slabby section of the wall containing a few bolted lines. This is the line furthest left and begins with a tough start.	3	16	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/528a520fd331b	0
21	Face Up to That Crack	https://www.redriverclimbing.com/RRCGuide/?type=route&id=23	Mixed	70	5.8-	3.56	Move right to the next bolted line. This route begins at about the middle of the buttress. Take a medium sized piece of gear to protect the runout or just run it out.	4	8	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/56ed672fedc4f,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4fe5c01ccce7e,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4e300d1343c0e,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/46c2cb29cbfa0,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/45c1036b3f315,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4534d73118677,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/439a21b516646,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4398fd6862138	0
22	Mr. Bungle	https://www.redriverclimbing.com/RRCGuide/?type=route&id=24	Sport	60	5.8+	2.99	This route ascends the blunt arete 25 feet to the right of Face Up to That Crack.	5	10	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4dff8f92886c6,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/46c2cbb071e1b,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/46c2cb7bdd9d9,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/43b95f408b947	0
23	Maypop	https://www.redriverclimbing.com/RRCGuide/?type=route&id=25	Sport	50	5.11a	2.88	This is the face about 10 feet right of Mr. Bungle. The line has a history of popping holds which has made the grade a bit stiffer.	6	23		0
24	Brother Stair	https://www.redriverclimbing.com/RRCGuide/?type=route&id=71	Sport	40	5.9	2.52	This is the next corner 25 feet right of Maypop. Begin with a tough start then continue up the arete on somewhat sandy holds.	7	12	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4dff907c3cca0,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4dff90681fa8c,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4d9a1ba14394e,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/46c483e56cd9d,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/brotherstair.jpg	0
25	Infectious	https://www.redriverclimbing.com/RRCGuide/?type=route&id=72	Sport	50	5.12b	4.58	This route is located 75 feet right of Brother Stair on a blunt arete. The first bolt of this route is missing. Stick clip the second. Route is indicated by an obvious flake midway up. Tackle the start and keep the flame going until you reach the anchors.	8	31	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/564c040aaa7c0,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/53d69dd7cc864,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/448d9cf1937f4	0
26	Birthday Party	https://www.redriverclimbing.com/RRCGuide/?type=route&id=73	Trad	75	5.9	2.67	To the right of Infectious is a right arching dihedral with a mossy slab to its right. This route ascends the slab using protection in an iron oxide pocket on the face. ''R" rated route.	9	12		0
27	Unsportsmanlike Conduct	https://www.redriverclimbing.com/RRCGuide/?type=route&id=74	Trad	50	5.11c	4.14	This route is located around the next buttress from Birthday Party. Look for an obvious crack splitting an overhanging face. Start on the boulder in front of the route then step into the crack. Smudge over the low roof then pinch, lock, and crimp to reach a dirty rest. Try to get some gear in then climb easy but dirty rock to slings around a tree.	10	25	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/580f7dc1a1c8f,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/562d89faaf741	0
